                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.721,                 4.1763,                 3.7532,                 1.7818,                0.00652,                0.89286,                0.18558,                0.11719,                0.00595,                0.78571,                0.18038,                0.07863,                0.61248,                 1.5154,                 3.1117,                 1.0538,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.5919,                 4.0881,                 3.6974,                 1.6706,                0.00648,                0.89286,                0.18508,                0.11163,                0.00591,                0.78571,                0.16461,                0.07273,                0.63442,                  1.539,                 3.1094,                  1.053,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      3,                 1.7206,                 3.9987,                 3.9103,                 1.7518,                0.00655,                0.89286,                0.19015,                0.13048,                0.00598,                0.78571,                0.18769,                 0.0836,                0.62521,                 1.4523,                  3.088,                 1.0067,             9.1685e-05,             9.1685e-05,             9.1685e-05
                      4,                 1.3499,                 2.9078,                 3.6169,                 1.4519,                0.00733,                0.93452,                0.24176,                0.16871,                0.00637,                0.84524,                0.17493,                0.08131,                0.67671,                 1.4925,                  3.088,                 1.0228,              0.0001105,              0.0001105,              0.0001105
                      5,                 1.1536,                 2.2885,                 3.2704,                 1.3062,                 0.0083,                0.93452,                0.29213,                0.17997,                0.00696,                 0.7619,                0.18735,                0.05401,                0.88124,                  1.605,                 3.1219,                 1.1853,             0.00012084,             0.00012084,             0.00012084
                      6,                0.99455,                 1.9297,                 2.9595,                 1.1817,                0.00899,                0.93452,                0.26958,                0.17223,                0.00732,                0.67857,                0.14727,                0.05295,                 0.8455,                 1.6571,                 3.1047,                 1.1721,             0.00012268,             0.00012268,             0.00012268
                      7,                0.94993,                 1.8747,                  2.762,                 1.1721,                0.00922,                0.93452,                0.25365,                0.16455,                0.00752,                0.67857,                0.11574,                0.04188,                0.82149,                 1.7196,                  3.036,                 1.1103,             0.00011603,             0.00011603,             0.00011603
                      8,                 1.0387,                 1.7462,                 2.6471,                  1.233,                0.00917,                0.93452,                0.27128,                0.18771,                0.00821,                0.78571,                0.11333,                0.04185,                0.79144,                 1.7299,                 3.0079,                 1.0917,              0.0001009,              0.0001009,              0.0001009
                      9,                 0.9106,                 1.6034,                 2.5623,                 1.1909,                0.00926,                0.93452,                 0.2594,                0.18066,                0.00801,                0.80357,                0.13594,                0.05063,                0.74132,                  1.656,                 2.9375,                 1.0495,              7.728e-05,              7.728e-05,              7.728e-05
                     10,                0.97372,                 1.7025,                 2.5205,                 1.1932,                0.00917,                0.93452,                0.26359,                0.18646,                0.00793,                0.80357,                0.17631,                0.05878,                0.69818,                 1.6051,                 2.8932,                 1.0103,             4.5171e-05,             4.5171e-05,             4.5171e-05
